ID del Animal,Nombre Común,Tipo de Animal,Número de Extremidades,Velocidad Máxima (km/h),Temperatura Corporal Promedio (°C),Número de Crías por Reproducción,Altitud Máxima (m),Frecuencia Respiratoria (respiraciones/min),Frecuencia Cardiaca (latidos/min),Hábitat,Estado de Conservación,Peso (kg),Método de Reproducción_Ovíparo,Método de Reproducción_Vivíparo,Peso (kg) Discretizado
1.0,Iguana,4,2.0,0.381618887015177,12.3,3.0,5757.0,33.0,0.21705426356589141,Selva,Extinto en estado silvestre,966.1,1.0,0.0,0.0
2.0,Pez Payaso,3,6.0,0.40489038785834736,10.2,9.0,982.0,36.0,0.12403100775193798,Selva,En peligro,1455.8,0.0,1.0,1.0
3.0,Iguana,4,4.0,0.11821247892074199,35.9,1.0,3132.0,21.0,0.8914728682170543,Desierto,En peligro,2201.6,0.0,1.0,2.0
4.0,Mariposa Monarca,1,4.0,0.041905564924114666,36.2,8.0,4442.0,15.0,0.3875968992248062,Selva,Extinto en estado silvestre,3700.1,1.0,0.0,3.0
5.0,Zebra,2,0.0,0.8661888701517706,14.3,7.0,3598.0,11.0,0.8837209302325582,Desierto,Vulnerable,3603.8,0.0,1.0,3.0
6.0,Pulpo,1,0.0,0.3884485666104553,18.9,6.0,5479.0,16.0,0.6976744186046511,Océano,Extinto en estado silvestre,1685.6,0.0,1.0,1.0
7.0,Hipopótamo,2,6.0,0.10801011804384486,35.5,1.0,2599.0,36.0,0.03875968992248058,Océano,Vulnerable,2553.8,1.0,0.0,2.0
8.0,Libélula,1,4.0,0.19848229342327148,12.5,9.0,1344.0,36.0,0.7596899224806202,Selva,En peligro,1171.2,1.0,0.0,1.0
9.0,Rinoceronte,2,2.0,0.10084317032040471,35.9,2.0,4840.0,38.0,0.5271317829457364,Océano,En peligro,3851.8,0.0,1.0,3.0
10.0,Nutria,2,6.0,0.47723440134907247,27.2,5.0,2465.0,31.0,0.24806201550387597,Selva,Vulnerable,983.6,0.0,1.0,0.0
11.0,Águila,0,2.0,0.8037942664418212,29.7,9.0,4928.0,13.0,0.41860465116279066,Desierto,En peligro,4096.8,0.0,1.0,4.0
12.0,Albatros,0,8.0,0.392327150084317,27.8,8.0,5919.0,34.0,0.24806201550387597,Océano,Vulnerable,4684.3,1.0,0.0,4.0
13.0,Avispa,1,0.0,0.6195615514333894,27.5,4.0,3311.0,38.0,0.007751937984496082,Montaña,Extinto en estado silvestre,4958.1,0.0,1.0,4.0
14.0,Iguana,4,6.0,0.6752951096121416,15.6,8.0,5269.0,38.0,0.5038759689922481,Selva,Extinto en estado silvestre,4284.8,1.0,0.0,4.0
15.0,Gorrión,0,6.0,0.7120573355817874,17.1,9.0,3133.0,29.0,0.10852713178294571,Selva,En peligro,1108.6,1.0,0.0,1.0
16.0,Chinchilla,2,2.0,0.6051433389544688,27.4,5.0,4828.0,25.0,0.8914728682170543,Océano,En peligro,2082.6,0.0,1.0,2.0
17.0,Mantis Religiosa,1,0.0,0.5535413153456997,22.0,1.0,428.0,26.0,0.4651162790697674,Océano,En peligro,444.3,1.0,0.0,0.0
18.0,Iguana,4,2.0,0.47757166947723434,26.2,6.0,2298.0,38.0,0.9302325581395348,Océano,Vulnerable,822.8,0.0,1.0,0.0
19.0,Caracol,1,2.0,0.47276559865092743,17.6,4.0,2464.0,12.0,0.9379844961240309,Selva,En peligro,248.6,0.0,1.0,0.0
